event_id,date,time_utc,datetime_utc,lat,lon,depth,moment_tensor_depth,strike1,dip1,rake1,strike2,dip2,rake2,n_fault_planes,ma,md,ml,mw,scalar_moment,mt_exponent,mt_mrr,mt_mtt,mt_mpp,mt_mrt,mt_mrp,mt_mtp,mt_1,mt_2,mt_3,mt_4,mt_5,mt_6
21076021,2000-01-06,21:38:10.940000,2000-01-06T21:38:10.940000Z,38.84,-122.83,1.5,1.5,67.0,78.0,-48.0,170.0,44.0,-163.0,2,3.52,3.52,3.55,3.85,7.422e+21,21,-2.8009,-0.6315,3.4323,-3.3436,-3.6189,5.8144,-2.8009,-0.6315,3.4323,-3.3436,-3.6189,5.8144
21076620,2000-01-10,21:41:27.150000,2000-01-10T21:41:27.150000Z,38.76,-122.92,6.11,5.0,358.0,74.0,-145.0,258.0,56.0,-19.0,2,4.24,4.04,4.28,4.33,3.882e+22,22,-1.2593,-0.16438,1.4237,0.75002,-1.8379,3.0572,-1.2593,-0.16438,1.4237,0.75002,-1.8379,3.0572
21076750,2000-01-11,14:19:52.090000,2000-01-11T14:19:52.090000Z,38.77,-122.91,5.77,5.0,2.0,68.0,-146.0,258.0,59.0,-25.0,2,4.23,4.11,4.34,4.59,9.412e+22,22,-3.0833,0.41032,2.6729,3.5223,-4.3697,7.0564,-3.0833,0.41032,2.6729,3.5223,-4.3697,7.0564
21077821,2000-01-16,01:51:32.620000,2000-01-16T01:51:32.620000Z,40.45,-125.74,4.78,24.0,183.0,90.0,15.0,93.0,75.0,180.0,2,4.21,3.83,,4.31,3.683e+22,22,-0.92572,0.03329,0.89243,0.33906,-0.95343,-3.5374,-0.92572,0.03329,0.89243,0.33906,-0.95343,-3.5374
21078341,2000-01-18,23:26:01.320000,2000-01-18T23:26:01.320000Z,38.75,-122.91,6.85,8.0,4.0,74.0,-148.0,264.0,59.0,-19.0,2,4.21,4.0,4.22,4.2,2.504e+22,22,-0.54809,0.26994,0.27815,0.69693,-1.2644,2.0085,-0.54809,0.26994,0.27815,0.69693,-1.2644,2.0085
21085327,2000-03-04,16:13:22.510000,2000-03-04T16:13:22.510000Z,37.86,-118.18,-1.08,18.0,64.0,85.0,12.0,333.0,78.0,175.0,2,4.1,3.98,,4.2,2.21834e+22,22,0.10123,-1.7651,1.6639,0.32408,0.34243,1.3238,0.10123,-1.7651,1.6639,0.32408,0.34243,1.3238
21086915,2000-03-16,15:19:56.380000,2000-03-16T15:19:56.380000Z,40.39,-125.24,4.8,8.0,174.0,73.0,-24.0,272.0,67.0,-161.0,2,5.6,4.78,,5.7,4.71923e+24,24,-1.822,1.1441,0.67792,0.52438,1.2673,-4.339,-1.822,1.1441,0.67792,0.52438,1.2673,-4.339
21086982,2000-03-16,21:42:36.120000,2000-03-16T21:42:36.120000Z,36.38,-120.39,7.46,8.0,319.0,55.0,74.0,165.0,38.0,111.0,2,3.77,3.85,3.75,3.7,4.11318e+21,21,3.7081,-0.6751,-3.033,-1.3558,0.6082,1.7345,3.7081,-0.6751,-3.033,-1.3558,0.6082,1.7345
21088314,2000-03-25,16:22:49.840000,2000-03-25T16:22:49.840000Z,36.9,-121.02,4.49,11.0,136.0,82.0,171.0,228.0,81.0,8.0,2,3.93,3.83,3.92,3.7,3.74772e+21,21,0.2851,-3.7994,3.5143,0.0184,-0.7529,0.2352,0.2851,-3.7994,3.5143,0.0184,-0.7529,0.2352
21090381,2000-04-05,02:20:31.090000,2000-04-05T02:20:31.090000Z,38.79,-122.77,4.54,5.0,50.0,86.0,-73.0,154.0,18.0,-165.0,2,3.57,3.55,3.68,3.88,8.332e+21,21,-1.9794,-1.485,3.4643,-6.7109,-4.2721,-0.3386,-1.9794,-1.485,3.4643,-6.7109,-4.2721,-0.3386
21096137,2000-05-08,09:12:34.540000,2000-05-08T09:12:34.540000Z,40.33,-124.69,3.62,11.0,195.0,67.0,27.0,94.0,66.0,155.0,2,4.31,4.15,4.11,4.5,6.70494e+22,22,2.0748,-2.8632,0.78836,1.7864,-2.709,-5.2804,2.0748,-2.8632,0.78836,1.7864,-2.709,-5.2804
21098249,2000-05-17,22:32:07.660000,2000-05-17T22:32:07.660000Z,39.39,-123.07,6.7,3.5,237.0,82.0,9.0,145.0,81.0,172.0,2,4.12,4.13,4.05,4.39,4.707e+22,22,0.1929,-4.361701,4.1688,-0.24433,-0.94839,1.7257,0.1929,-4.361701,4.1688,-0.24433,-0.94839,1.7257
21100100,2000-05-24,23:51:19.880000,2000-05-24T23:51:19.880000Z,39.38,-123.05,5.46,3.5,252.0,77.0,39.0,151.0,52.0,163.0,2,3.44,3.67,3.46,3.71,4.579e+21,21,0.3867,-4.2682,1.0071,-2.2398,-1.4048,2.3875,0.3867,-4.2682,1.0071,-2.2398,-1.4048,2.3875
