event_id,date,time_utc,datetime_utc,lat,lon,depth,moment_tensor_depth,strike1,dip1,rake1,strike2,dip2,rake2,n_fault_planes,ma,md,ml,mw,scalar_moment,mt_exponent,mt_mrr,mt_mtt,mt_mpp,mt_mrt,mt_mrp,mt_mtp,mt_1,mt_2,mt_3,mt_4,mt_5,mt_6,optimum_strike,optimum_dip,optimum_rake,instability,instability_max
21076021,2000-01-06,21:38:10.940000,2000-01-06T21:38:10.940000Z,38.8400,-122.8300,1.5000,1.5000,67.0000,78.0000,-48.0000,170.0000,44.0000,-163.0000,2,3.5200,3.5200,3.5500,3.8500,7422000000000000524288.0000,21,-2.8009,-0.6315,3.4323,-3.3436,-3.6189,5.8144,-2.8009,-0.6315,3.4323,-3.3436,-3.6189,5.8144,170.0000,44.0000,-163.0000,0.8787,0.8787
21076620,2000-01-10,21:41:27.150000,2000-01-10T21:41:27.150000Z,38.7600,-122.9200,6.1100,5.0000,358.0000,74.0000,-145.0000,258.0000,56.0000,-19.0000,2,4.2400,4.0400,4.2800,4.3300,38819999999999998951424.0000,22,-1.2593,-0.1644,1.4237,0.7500,-1.8379,3.0572,-1.2593,-0.1644,1.4237,0.7500,-1.8379,3.0572,358.0000,74.0000,215.0000,0.8852,0.8852
21076750,2000-01-11,14:19:52.090000,2000-01-11T14:19:52.090000Z,38.7700,-122.9100,5.7700,5.0000,2.0000,68.0000,-146.0000,258.0000,59.0000,-25.0000,2,4.2300,4.1100,4.3400,4.5900,94120000000000006291456.0000,22,-3.0833,0.4103,2.6729,3.5223,-4.3697,7.0564,-3.0833,0.4103,2.6729,3.5223,-4.3697,7.0564,2.0000,68.0000,214.0000,0.8745,0.8745
21077821,2000-01-16,01:51:32.620000,2000-01-16T01:51:32.620000Z,40.4500,-125.7400,4.7800,24.0000,183.0000,90.0000,15.0000,93.0000,75.0000,180.0000,2,4.2100,3.8300,,4.3100,36830000000000000524288.0000,22,-0.9257,0.0333,0.8924,0.3391,-0.9534,-3.5374,-0.9257,0.0333,0.8924,0.3391,-0.9534,-3.5374,183.0000,90.0000,15.0000,0.8493,0.8493
21078341,2000-01-18,23:26:01.320000,2000-01-18T23:26:01.320000Z,38.7500,-122.9100,6.8500,8.0000,4.0000,74.0000,-148.0000,264.0000,59.0000,-19.0000,2,4.2100,4.0000,4.2200,4.2000,25040000000000000000000.0000,22,-0.5481,0.2699,0.2782,0.6969,-1.2644,2.0085,-0.5481,0.2699,0.2782,0.6969,-1.2644,2.0085,4.0000,74.0000,212.0000,0.8827,0.8827
21085327,2000-03-04,16:13:22.510000,2000-03-04T16:13:22.510000Z,37.8600,-118.1800,-1.0800,18.0000,64.0000,85.0000,12.0000,333.0000,78.0000,175.0000,2,4.1000,3.9800,,4.2000,22183400000000001835008.0000,22,0.1012,-1.7651,1.6639,0.3241,0.3424,1.3238,0.1012,-1.7651,1.6639,0.3241,0.3424,1.3238,333.0000,78.0000,175.0000,0.9546,0.9546
21086915,2000-03-16,15:19:56.380000,2000-03-16T15:19:56.380000Z,40.3900,-125.2400,4.8000,8.0000,174.0000,73.0000,-24.0000,272.0000,67.0000,-161.0000,2,5.6000,4.7800,,5.7000,4719229999999999811780608.0000,24,-1.8220,1.1441,0.6779,0.5244,1.2673,-4.3390,-1.8220,1.1441,0.6779,0.5244,1.2673,-4.3390,174.0000,73.0000,336.0000,0.9291,0.9291
21086982,2000-03-16,21:42:36.120000,2000-03-16T21:42:36.120000Z,36.3800,-120.3900,7.4600,8.0000,319.0000,55.0000,74.0000,165.0000,38.0000,111.0000,2,3.7700,3.8500,3.7500,3.7000,4113180000000000131072.0000,21,3.7081,-0.6751,-3.0330,-1.3558,0.6082,1.7345,3.7081,-0.6751,-3.0330,-1.3558,0.6082,1.7345,165.0000,38.0000,111.0000,0.8529,0.8529
21088314,2000-03-25,16:22:49.840000,2000-03-25T16:22:49.840000Z,36.9000,-121.0200,4.4900,11.0000,136.0000,82.0000,171.0000,228.0000,81.0000,8.0000,2,3.9300,3.8300,3.9200,3.7000,3747719999999999737856.0000,21,0.2851,-3.7994,3.5143,0.0184,-0.7529,0.2352,0.2851,-3.7994,3.5143,0.0184,-0.7529,0.2352,228.0000,81.0000,8.0000,0.8444,0.8444
21090381,2000-04-05,02:20:31.090000,2000-04-05T02:20:31.090000Z,38.7900,-122.7700,4.5400,5.0000,50.0000,86.0000,-73.0000,154.0000,18.0000,-165.0000,2,3.5700,3.5500,3.6800,3.8800,8332000000000000000000.0000,21,-1.9794,-1.4850,3.4643,-6.7109,-4.2721,-0.3386,-1.9794,-1.4850,3.4643,-6.7109,-4.2721,-0.3386,154.0000,18.0000,-165.0000,0.7217,0.7901
21096137,2000-05-08,09:12:34.540000,2000-05-08T09:12:34.540000Z,40.3300,-124.6900,3.6200,11.0000,195.0000,67.0000,27.0000,94.0000,66.0000,155.0000,2,4.3100,4.1500,4.1100,4.5000,67049399999999997116416.0000,22,2.0748,-2.8632,0.7884,1.7864,-2.7090,-5.2804,2.0748,-2.8632,0.7884,1.7864,-2.7090,-5.2804,195.0000,67.0000,27.0000,0.9335,0.9335
21098249,2000-05-17,22:32:07.660000,2000-05-17T22:32:07.660000Z,39.3900,-123.0700,6.7000,3.5000,237.0000,82.0000,9.0000,145.0000,81.0000,172.0000,2,4.1200,4.1300,4.0500,4.3900,47069999999999996329984.0000,22,0.1929,-4.3617,4.1688,-0.2443,-0.9484,1.7257,0.1929,-4.3617,4.1688,-0.2443,-0.9484,1.7257,145.0000,81.0000,172.0000,0.9275,0.9275
21100100,2000-05-24,23:51:19.880000,2000-05-24T23:51:19.880000Z,39.3800,-123.0500,5.4600,3.5000,252.0000,77.0000,39.0000,151.0000,52.0000,163.0000,2,3.4400,3.6700,3.4600,3.7100,4579000000000000262144.0000,21,0.3867,-4.2682,1.0071,-2.2398,-1.4048,2.3875,0.3867,-4.2682,1.0071,-2.2398,-1.4048,2.3875,151.0000,52.0000,163.0000,0.9136,0.9136
21109943,2000-07-15,11:56:38.990000,2000-07-15T11:56:38.990000Z,37.9700,-122.0300,15.2400,18.0000,322.0000,81.0000,-162.0000,229.0000,72.0000,-10.0000,2,3.5100,3.6600,3.6100,3.7000,3783990000000000065536.0000,21,-0.8687,-3.1014,3.9701,0.8615,-0.6055,0.6439,-0.8687,-3.1014,3.9701,0.8615,-0.6055,0.6439,322.0000,81.0000,198.0000,0.8773,0.8773
21119756,2000-08-13,18:17:48.770000,2000-08-13T18:17:48.770000Z,40.3700,-124.4700,17.4300,8.0000,233.0000,52.0000,64.0000,93.0000,45.0000,120.0000,2,3.9600,3.9500,3.9100,4.1000,15388499999999999868928.0000,22,1.2581,-1.4605,0.2024,-0.0763,-0.4349,-0.5805,1.2581,-1.4605,0.2024,-0.0763,-0.4349,-0.5805,233.0000,52.0000,64.0000,0.8113,0.8113
21120807,2000-08-21,04:45:13.570000,2000-08-21T04:45:13.570000Z,39.3300,-123.0400,10.6900,8.0000,234.0000,86.0000,-22.0000,325.0000,68.0000,-176.0000,2,3.7000,3.9000,3.7100,3.9700,11310000000000000524288.0000,22,0.0479,-1.0134,0.9655,0.4257,0.1442,0.3307,0.0479,-1.0134,0.9655,0.4257,0.1442,0.3307,325.0000,68.0000,-176.0000,0.8738,0.8738
21123384,2000-09-03,08:36:30.110000,2000-09-03T08:36:30.110000Z,38.3800,-122.4100,9.3700,5.0000,239.0000,86.0000,-5.0000,330.0000,85.0000,-176.0000,2,5.1200,4.6600,5.1700,4.9000,263346000000000007864320.0000,23,0.1875,-2.3854,2.1979,0.3469,-0.0597,1.2540,0.1875,-2.3854,2.1979,0.3469,-0.0597,1.2540,330.0000,85.0000,-176.0000,0.9555,0.9555
21127030,2000-09-26,07:20:29.590000,2000-09-26T07:20:29.590000Z,38.6600,-119.5500,5.5300,8.0000,146.0000,78.0000,-134.0000,45.0000,45.0000,-16.0000,2,4.9400,4.3600,,4.4000,58777100000000003276800.0000,22,-1.8873,-3.3772,5.2645,-2.0232,3.1609,0.4254,-1.8873,-3.3772,5.2645,-2.0232,3.1609,0.4254,45.0000,45.0000,-16.0000,0.7518,0.9368
21134837,2000-11-19,12:54:50.880000,2000-11-19T12:54:50.880000Z,40.4400,-119.5500,4.3500,5.0000,183.0000,53.0000,-122.0000,49.0000,47.0000,-55.0000,2,4.1900,3.9300,,4.0000,13003700000000000917504.0000,22,-1.0225,-0.0268,1.0493,-0.3013,0.2950,0.6792,-1.0225,-0.0268,1.0493,-0.3013,0.2950,0.6792,183.0000,53.0000,238.0000,0.8744,0.8744
